noisy_input,clean_output
खामा ख़ाने के बाद मचो कम हो जाथी है।,खाना खाने के बाद मोच कम हो जाती है।
चलणे पर जीभ में मकछरी शुूर होती है।,चलने पर जीभ में नकसीर शुरू होती है।
डॉकठर ने कहा गॉकव्लैडर है।,डॉक्टर ने कहा गॉलब्लैडर है।
ए हफ्ेत से से फिंडली नें ते़ज झषनझनाहषट कभ हो झाती ह।,एक हफ्ते से से पिंडली में तेज़ झनझनाहट कम हो जाती है।
चलने पर हड्डी में फ्रैग्चल शुड़ू होता है।,चलने पर हड्डी में फ्रैक्चर शुरू होता है।
टखन की त्वचा पर िखइंचाव ड़हती है।,टखना की त्वचा पर खिंचाव रहती है।
झुकनेफड़ घर्दा मेम दस्त शुरू होता गै।,झुकने पर गुर्दा में दस्त शुरू होता है।
नाख के आसपास चुफन औ़ काफी दस्ट बनी हथी है।,नाक के आसपास चुभन और काफी दस्त बनी रहती है।
बेट फूला रथहता है।,पेट फूला रहता है।
अचानक े ेपत भें रगातरा चभघन आी ह।,अचानक से पेट में लगातार चुभन आती है।
खाना ाने ख बाद एलरर्जी रहती है।,खाना खाने के बाद एलर्जी रहती है।
कोहनी की त्वचा पड़ उल्टी मगसूस होता है।,कोहनी की त्वचा पर उल्टी महसूस होता है।
मुझे कूलहा में सांस फूलना आती है।,मुझे कूल्हा में सांस फूलना आती है।
ग़लो ें सज़न है और थषकमा ीमय बडनीव रगतीहै।,गला में सूजन है और थकान भी बनी रहती है।
सुहब उठते ही पंेज में सन कम हो जाता है।,सुबह उठते ही पंजा में सुन्नपन कम हो जाता है।
झ़्यादा चक्कर के साथ जकठ़न भी षुरू होती है।,ज़्यादा चक्कर के साथ जकड़न भी शुरू होती है।
चनलेभपर खमल में खिंचभ लगता हि।,चलने पर कमर में खिंचाव लगता है।
सस ेने में तकलीफ होत गै।,सांस लेने में तकलीफ होती है।
चलने पर पैर में ीनंत न आना भगछूस होती ै।,चलने पर पैर में नींद न आना महसूस होती है।
ार की अंघुळधि टूट ग है।,पैर की अंगुली टूट गई है।
बाध लेने ि बाद नीद न आना महुस होती है।,दवा लेने के बाद भी नींद न आना महसूस होती है।
चेहरे पर ाने णिक आए हम।,चेहरे पर दाने निकल आए हैं।
़ीभ परल सफेद परत है।,जीभ पर सफेद परत है।
गमुर्दा हिळाणि पर ळउ्टी कम होख जाता है।,गुर्दा हिलाने पर उल्टी कम हो जाता है।
होंट में सूज ै औड़ फुठ़ा भी लगती हि।,होंठ में सूजन है और फोड़ा भी लगती है।
चलने पर ठोड़ी में ैरश बढ़जाता है।,चलने पर ठोड़ी में रैश बढ़ जाता है।
चलने पर ोडड़ी में पसीन बढ़ जाता है।,चलने पर ठोड़ी में पसीना बढ़ जाता है।
कलाई मं मोच आ गई ै।,कलाई में मोच आ गई है।
द्षत गग है।,दस्त लग गए हैं।
दव ळेणि के बाद भी एरल लगटा है।,दवा लेने के बाद भी एलर्जी लगता है।
ासिख धड़्म अणियनिथ हा।,मासिक धर्म अनियमित है।
ॉढक्रने कहा स्र है।,डॉक्टर ने कहा अल्सर है।
जाँछ में किछडणष्टोण नकला है।,जाँच में किडनी स्टोन निकला है।
कलाई को छुने पर तेज़ ंड लघना शबूरू होती अ।,कलाई को छूने पर तेज़ ठंड लगना शुरू होती है।
झुकणे पयर बाल मैं कब रअती अै।,झुकने पर बाल में कब्ज रहती है।
रात को सोतेण समय लपक में पसीने भढ़ जाता है।,रात को सोते समय पलक में पसीना बढ़ जाता है।
ाथ को सोेत सयन णुथान ध़न आटा अे।,रात को सोते समय नथुना में धड़कन आता है।
चेहरे फर ताने निकधल आए हैं।,चेहरे पर दाने निकल आए हैं।
पालसके आसपष गैसऔर ज़्धााओ सििटड पमड़हते अि।,बाल के आसपास गैस और ज़्यादा एसिडिटी बना रहता है।
उँगलियों में झनझन होती है।,उँगलियों में झनझनाहट होती है।
डॉ्कटर ने कहा गॉलब्लाडर ै।,डॉक्टर ने कहा गॉलब्लैडर है।
वा झड़ रेह हैम।,बाल झड़ रहे हैं।
मिरे फैटर नें णेंडम आमा औरबिचैम धोनं बढ़ जादी हे।,मेरे पेट में नींद न आना और बेचैनी दोनों बढ़ जाती है।
ठंद में घुटन में चभुन शोरू होता है।,ठंड में घुटना में चुभन शुरू होता है।
डतँ मं दर्द है।,दाँत में दर्द है।
दिमतागकी ्चा पर खिंचोव कम हो जाती अै।,दिमाग की त्वचा पर खिंचाव कम हो जाती है।
चिड़चिद़ापन बढ़ गये है।,चिड़चिड़ापन बढ़ गया है।
मांसफेशी मेंसूजन है और दस्त भी रही है।,मांसपेशी में सूजन है और दस्त भी रहती है।
डेटन कह भैअतीरियल है।,डॉक्टर ने कहा बैक्टीरियल है।
फिछरे महीनेसै ठखम में ोड़ा षून शुलू हता है।,पिछले महीने से टखना में थोड़ा सूजन शुरू होता है।
ग़र्मदमें मोच के कारषण एलरजि भीप बेन लहती है।,गर्दन में मोच के कारण एलर्जी भी बनी रहती है।
भझेटूीऐआई है और टखनामें खन आनो लगती है।,मुझे यूटीआई है और टखना में खून आना लगती है।
कंधे मेंद्द अैऊ।,कंधे में दर्द है।
िसर में सूजम ै और थनका भ ुछरलू गोती है।,सिर में सूजन है और थकान भी शुरू होती है।
डखना ेमं सूजन गै और चुउभन भी आता है।,टखना में सूजन है और चुभन भी आता है।
ंधा हिलाणिऊ पड़ ड्ड खम हुऊ जावता है।,कंधा हिलाने पर दर्द कम हो जाता है।
ख्टी डकाऊर आीत है।,खट्टी डकार आती है।
खाने निकलने मेम िडक्कत अै।,खाना निगलने में दिक्कत है।
ेशर भें रूससि हो गई ह।,सिर में रूसी हो गई है।
राथ गभो षाते सकमय दाँत में संख्रञ शरू होते है।,रात को सोते समय दाँत में संक्रमण शुरू होता है।
रात को सोते समय सिर में ताने बना रहता है।,रात को सोते समय सिर में दाने बना रहता है।
धुना हिलोन पर चुभन ौहटा ह।,नथुना हिलाने पर चुभन होता है।
झुकने पर उँगली में एरर्जी आती है।,झुकने पर उँगली में एलर्जी आती है।
घुरअा हिलाने पर गमी लनगा लहत है।,गुर्दा हिलाने पर गर्मी लगना रहता है।
चेहरएा पर दाने निकर आए हैं।,चेहरे पर दाने निकल आए हैं।
छाथी ी त्वा पड़ सग्रनण रहता है।,छाती की त्वचा पर संक्रमण रहता है।
झकन पर बाँह में दर्द कम हुल चाता है।,झुकने पर बाँह में दर्द कम हो जाता है।
ख़ानो खाना क़ेबात जलन मसूस होता है।,खाना खाने के बाद जलन महसूस होता है।
मझे डिलमें ऐंटन बढ़ जतीहै।,मुझे दिल में ऐंठन बढ़ जाती है।
झूकने पर रीढ़ में खिनचाव ोत अिऊ।,झुकने पर रीढ़ में खिंचाव होती है।
पैल मं जदल क़ेकारण ऐंठन ब नहससो होचता हक।,पैर में जलन के कारण ऐंठन भी महसूस होता है।
हाथह-पैर षनुअन हा जाते हे।,हाथ-पैर सुन्न हो जाते हैं।
तलेवं जनळ होती है।,तलवे में जलन होती है।
शान े पेठ में रूक-ोरक क जकड़न कम हो जाता है।,शाम से पीठ में रुक-रुक कर जकड़न कम हो जाता है।
कूल्हा भें शून है और तश् भी बढ़ जात हि।,कूल्हा में सूजन है और दस्त भी बढ़ जाता है।
सिर मंे रूसी होगई है।,सिर में रूसी हो गई है।
सढहभ उठथ गी जोड़ भें दड़अध लगदओि अ।,सुबह उठते ही जोड़ में दर्द लगती है।
पि फूरा रअत है।,पेट फूला रहता है।
रध़ कोघ छने रप रुक-रुरक कर फोड़ा मछोश हौथा हफै।,रीढ़ को छूने पर रुक-रुक कर फोड़ा महसूस होता है।
फिशर हो यो है।,फिशर हो गया है।
दोपहरछाती मां झआनयझनाहट होनया लगति अैऊ।,दोपहर छाती में झनझनाहट होने लगती है।
बेवज लोना ता है।,बेवजह रोना आता है।
झीभपर सफैऊद परत ै।,जीभ पर सफेद परत है।
पेठ मंे अकड़न है।,पीठ में अकड़न है।
कंधे मं दरद्त ैह।,कंधे में दर्द है।
येजाम करनाप खांबी महसूष गोटा हा।,व्यायाम करने पर खांसी महसूस होता है।
पीड़यड्समें भहुत दर्द होथा ै।,पीरियड्स में बहुत दर्द होता है।
बेट फूा ड़खहता गै।,पेट फूला रहता है।
नाक क छूने पर काफी मतली आताहै।,नाक को छूने पर काफी मतली आता है।
रात ो सोथे समय पैर में सूजनभ बनी रतही है।,रात को सोते समय पैर में सूजन बनी रहती है।
जन अचानक बढ़ गया है।,वजन अचानक बढ़ गया है।
केफी नींद न आना क़े साथ उल्टी भी कन हो ज़ाताहै।,काफी नींद न आना के साथ उल्टी भी कम हो जाता है।
सुनने मांदकअकत हो रही है।,सुनने में दिक्कत हो रही है।
डॉकअतर ने का टॉन्सिल है।,डॉक्टर ने कहा टॉन्सिल है।
ज़ाँच भें मडाइ्रेन निकला अा।,जाँच में माइग्रेन निकला है।
सुबह उठदे ही टखनो मेम लबगमहोता गा।,सुबह उठते ही टखना में बलगम होता है।
चाी मै नखसीर के कारण चोट भी शुरू हौत है।,छाती में नकसीर के कारण चोट भी शुरू होती है।
गरमअी में कोहनी से पसीान कम हो चाती है।,गर्मी में कोहनी से पसीना कम हो जाती है।
घुनटेमें पनोी भर गईा हटै।,घुटने में पानी भर गया है।
बबैमठे का भदा कूलहअा मं जलन बनीरअती हे।,बैठने के बाद कूल्हा में जलन बनी रहती है।
ज़ अजामक कम हु गा है।,वजन अचानक कम हो गया है।
मुषे डिलफ में तर्द कम हएो जाता है।,मुझे दिल में दर्द कम हो जाता है।
सबग ठउते ीह भौं में उल्टे लगती है।,सुबह उठते ही भौं में उल्टी लगती है।
डॉक़्टर ने कहहृदय रोग है।,डॉक्टर ने कहा हृदय रोग है।
धिल में फर्ैक़छर के केरण गैस भ नबी रहती है।,दिल में फ्रैक्चर के कारण गैस भी बनी रहती है।
खानागधामे के बादबऔलगम छुूर होता है।,खाना खाने के बाद बलगम शुरू होता है।
ोणी क तअचा पर मोच आतेभ है।,कोहनी की त्वचा पर मोच आता है।
ज़्जादा जलद के सथा ूभख न लगना भी आता है।,ज़्यादा जलन के साथ भूख न लगना भी आता है।
गर्मी मेंआँख सि सूज़न कम हो जाता है।,गर्मी में आँख से सूजन कम हो जाता है।
भेरे होंठ में लैश और खूनआना दोनौं ळगदसा है।,मेरे होंठ में रैश और खून आना दोनों लगता है।
ठंड में पलक में दस्त बढ़जाती है।,ठंड में पलक में दस्त बढ़ जाती है।
पीठ नेम अदक़डणहै।,पीठ में अकड़न है।
दसथ लग गएहैं।,दस्त लग गए हैं।
पिबार में खारेसटरॉल कि नशश्य ही है।,परिवार में कोलेस्ट्रॉल की समस्या रही है।
ेसाब क रंग वदर ़गया हे।,पेशाब का रंग बदल गया है।
झे तमिक भें एषिडिट नबीउ रदी है।,मुझे दिमाग में एसिडिटी बनी रहती है।
ेरत को सौटे समयर गळोऔमएे वडरड लगात है।,रात को सोते समय गला में दर्द लगता है।
हाठ में सजन अि औरएसिडीटि भ नहस ूथस अोती अ।,हाथ में सूजन है और एसिडिटी भी महसूस होती है।
गलाकोउ चूनेई परहळअाक जझनाठह होमीहै।,गला को छूने पर हल्का झनझनाहट होती है।
दाँत में दर्द अै।,दाँत में दर्द है।
व्यरायाम रने पर चक्कर कम गो जाता है।,व्यायाम करने पर चक्कर कम हो जाता है।
धवालेने े ेध भ छाले मक हघौ जाात है।,दवा लेने के बाद भी छाले कम हो जाता है।
पेछाब बार-बेरतआेऊ है।,पेशाब बार-बार आता है।
उगँगिलयों मंि जझना गातीहै।,उँगलियों में झनझनाहट होती है।
डटॉड़ ने कहा हरनिया ह।,डॉक्टर ने कहा हर्निया है।
शि में रूसी हो ई है।,सिर में रूसी हो गई है।
नाखून में ख़ांसी कि कारणलर्ज़ी भी हतोे है।,नाखून में खांसी के कारण एलर्जी भी होती है।
कमल कौ छोने पर तअयधक रैश बान रहता है।,कमर को छूने पर अत्यधिक रैश बना रहता है।
सुबह उठते ही कलाई में खांसीबढ़ जाती है।,सुबह उठते ही कलाई में खांसी बढ़ जाती है।
डॉक्टर ने कहा अल्सर गै।,डॉक्टर ने कहा अल्सर है।
दाँत भें दर्द है।,दाँत में दर्द है।
शाती नें बडावमहसस होरता है।,छाती में दबाव महसूस होता है।
त्वचा सूखीऔर खुरदरि हो गई ह।,त्वचा सूखी और खुरदरी हो गई है।
व्यायाम करने बर सुन्मपन होत है।,व्यायाम करने पर सुन्नपन होता है।
हद्छडी ेक आसपेश ुबख़ार और ज़्याडा मोच महसूस होतीहै।,हड्डी के आसपास बुखार और ज़्यादा मोच महसूस होती है।
भाठने कणे बाद पिंलि में खेंचाव लगता है।,बैठने के बाद पिंडली में खिंचाव लगता है।
बैठनैके ाबध पंजा नें खरी रहता है।,बैठने के बाद पंजा में खुजली रहता है।
खाना खाने के पाद जुकाम वड़ जेती है।,खाना खाने के बाद जुकाम बढ़ जाती है।
बालके त्वचा पल घबड़ाहट लगईती है।,बाल की त्वचा पर घबराहट लगती है।
वगुत छिमग े साथ जुकाम फी रहत है।,बहुत छींक के साथ जुकाम भी रहता है।
षुक नि फरटखना में मोच शुलूहोी अै।,झुकने पर टखना में मोच शुरू होती है।
जफाँच भे ीबी निक़ळा ै।,जाँच में बीपी निकला है।
कधमर में लद रहता है।,कमर में दर्द रहता है।
एड़ मिम चोठ कै कडा़ण लै भेहोदी गेइ।,एड़ी में चोट के कारण रैश भी होती है।
नाक सि खून आते है।,नाक से खून आता है।
ठड में तद्वचा में भूख न लनगा ढ़ जोती है।,ठंड में त्वचा में भूख न लगना बढ़ जाती है।
गरभ्ी नें नस े जकन आती गै।,गर्मी में नस से जकड़न आती है।
कुछ दिुनं से हद्ीढ में बषीणो होने लगती अै।,कुछ दिनों से हड्डी में पसीना होने लगती है।
पेबजह रोनाथकआा है।,बेवजह रोना आता है।
भुह के आसपाछ उल्टी और तेज़धड़न बढ झाताहै।,मुँह के आसपास उल्टी और तेज़ धड़कन बढ़ जाता है।
पेशबा का रंग पदल गयाहै।,पेशाब का रंग बदल गया है।
दो महीने षे सेत्वचा में बेहद चौट बढ़ जादी है।,दो महीने से से त्वचा में बेहद चोट बढ़ जाती है।
वाज़ नहीं निकर रहफी।,आवाज़ नहीं निकल रही।
ठखना की त् वचा पर एसेडिटी रहथ है।,टखना की त्वचा पर एसिडिटी रहता है।
गर्मी में शिर से बुाखर शुलू होतीहै।,गर्मी में सिर से बुखार शुरू होती है।
जंच में सोइछ णिकला है।,जाँच में साइनस निकला है।
जिगर हिलाने पड़ झणझनाहट लगता है।,जिगर हिलाने पर झनझनाहट लगता है।
ेपसाब बार-बार आता है।,पेशाब बार-बार आता है।
भूख बिलूकल नहीं खलती है।,भूख बिल्कुल नहीं लगती है।
झु क़न पर जीभ मं सुम्नपन लगती अै।,झुकने पर जीभ में सुन्नपन लगती है।
ाजँच मेंसाइनस निकरा ै।,जाँच में साइनस निकला है।
हा-पर सुन्न होजाखे हैं।,हाथ-पैर सुन्न हो जाते हैं।
पेट मेथं ैक बतजी है।,पेट में गैस बनती है।
चलने पर जोड़ में नकसीर मक हो जाटी हे।,चलने पर जोड़ में नकसीर कम हो जाती है।
कधे नां दर्द गै।,कंधे में दर्द है।
परिवार में गॉलब्लैडरकी समया रही है।,परिवार में गॉलब्लैडर की समस्या रही है।
कमर भे दर्द रहता है।,कमर में दर्द रहता है।
ठॉक्टर णे कहा डायबिटीज़ है।,डॉक्टर ने कहा डायबिटीज़ है।
परैोन मे सूजन आ गई है।,पैरों में सूजन आ गई है।
गोहनी में सजून है।,कोहनी में सूजन है।
चलना बर पैर में छाै लगती गे।,चलने पर पैर में छाले लगती है।
लईा मिं मोज आ कई है।,कलाई में मोच आ गई है।
िगल कै सआब ास चौड और केफआ़ क्बछज आती है।,जिगर के आसपास चोट और काफी कब्ज आती है।
भवसीर किव समस्या अै।,बवासीर की समस्या है।
टंड मिं ुघटना में जकड़न आती ै।,ठंड में घुटना में जकड़न आती है।
नाक बंद रहत हि।,नाक बंद रहती है।
याददाझश्त गनजल हो गई है।,याददाश्त कमजोर हो गई है।
