Hindi_raw,expected_outputs,model_prediction,is_correct
तनाव बदने पर दिल जोर से धड़कती है और पसीना आता है।,तनाव बढ़ने पर दिल जोर से धड़कता है और पसीना आता है।,सांस लेने पर दिल जोड़ से धड़कती है और पसीना आता है।,False
गला खुदलीदार और खरार वाला लगता है।,गला खुजलीदार और खराश वाला लगता है।,गला खुजली और खराश वाला लगता है।,False
नक और आंखों के आसपास दबाध सा लगता है।,नाक और आंखों के आसपास दबाव सा लगता है।,मुझे आँखों के आसपास दबाव सा लगता है।,False
चकार आने पर उल्दि जैसा लगता है।,चक्कर आने पर उल्टी जैसा लगता है।,चलने पर उल्कुल जैसी लगता है।,False
त्वशा भी पीली-पील सी लग रही है।,त्वचा भी पीली-पील सी लग रही है।,त्वचा भी पीली-पीली लगती है।,False
पेध के दाहिती ओर ऊपर हल्का दर्द रहता है।,पेट के दाहिनी ओर ऊपर हल्का दर्द रहता है।,पेशाब के दाने में हल्का दर्द रहता है।,False
कवी-कवी आंखों में जलद होती है।,कभी-कभी आंखों में जलन होती है।,कभी-कभी आँखों में जलन होती है।,False
बुखाद आने पर बहुत ठंद लगती है।,बुखार आने पर बहुत ठंड लगती है।,बुखार आने पर बहुत ठंड लगती है।,True
खांबी के साथ हल्दा बुखार है।,खांसी के साथ हल्का बुखार है।,खांसी के साथ हल्का बुखार है।,True
लंबे समय तक खांदने के बाद सीने में दर्द होता है।,लंबे समय तक खांसने के बाद सीने में दर्द होता है।,लंबे समय तक खाना खाने के बाद सीने में दर्द होता है।,False
गती खराश और दर्द करता है।,गला खराश और दर्द करता है।,गती खराश और दर्द करता है।,False
खांसने के बाद सांस तेध हो जाती है।,खांसने के बाद सांस तेज़ हो जाती है।,खाना खाने के बाद सांस तेज़ हो जाती है।,False
मुझे थायरॉदा है और मैं रोज़ दवा लेती हूँ।,मुझे थायरॉयड है और मैं रोज़ दवा लेती हूँ।,मुझे थायरॉय है और मैं रोज़ दवा लेती है।,False
गर्दद के किनाशा सूजन जैसा लगता है।,गर्दन के किनारे सूजन जैसा लगता है।,गर्दन के आसपास सूजन जैसी लगता है।,False
पेत में मरोद जैसा दर्द होता है।,पेट में मरोड़ जैसा दर्द होता है।,पेशाब में जलन जैसी दर्द होता है।,False
बहुत प्याशा लग रही है और मुँख सूखा रहता है।,बहुत प्यास लग रही है और मुँह सूखा रहता है।,बहुत प्यार लग रही है और मुँह सूजन रहता है।,False
रात को बुखा के साथ कंपकंप होती है।,रात को बुखार के साथ कंपकंपी होती है।,रात को बुखा के साथ कंधा शुरू होती है।,False
ठंड लने पर शरीर बिल्कुल कमजोश लगता है।,ठंड लगने पर शरीर बिल्कुल कमजोर लगता है।,ठंड लेने पर शरीर बिल्कुल कमजोरी लगता है।,False
सूजन वाले हिस्से को दबेने पर दर्द होता है।,सूजन वाले हिस्से को दबाने पर दर्द होता है।,सूजन वाले हिस्से को दबाने पर दर्द होता है।,True
घादा के आसपास त्वशा में दर्द है।,घाव के आसपास त्वचा में दर्द है।,खाना के आसपास त्वचा में दर्द है।,False
वीख कम हो गई है और थोड़ा बेजन भी घटा है।,भूख कम हो गई है और थोड़ा वजन भी घटा है।,पीरियड्स कम हो गई है और थोड़ा बेजन भी घटा है।,False
रात में नीं टूट जाती है और फिर नहीं आती।,रात में नींद टूट जाती है और फिर नहीं आती।,रात में नींद टूट जाती है और फिशर नहीं आती है।,False
परों में अक्सर सुन्नपती और झनझनाहत रहती है।,पैरों में अक्सर सुन्नपन और झनझनाहट रहती है।,परिवार में अक्सर सुन्नपन और झनझनाहट रहती है।,False
मेरा बीती ज़्यातर ऊँचा रहता है।,मेरा बीपी ज़्यादातर ऊँचा रहता है।,मेरे बीती में ज़्यादा ऊँचा रहता है।,False
धूत में बहुत छींश आती है।,धूल में बहुत छींक आती है।,धड़कन में बहुत छींक आती है।,False
मूंगफल खाने से गले में खुजती होती है।,मूंगफली खाने से गले में खुजली होती है।,मुँह खाने से गले में खुजली होती है।,False
अक्सर सिरर्द होता है और कभी-कभी चक्कश भी आते हैं।,अक्सर सिरदर्द होता है और कभी-कभी चक्कर भी आते हैं।,अक्सर सिरदर्द होता है और कभी-कभी चोट भी आता है।,False
"हाँ, मुझे पिशाले 4 साल से डायबिटीजत है।","हाँ, मुझे पिछले 4 साल से डायबिटीज़ है।",मुझे पिंडली में डायबिटीज होता है।,False
पिछले हफ्ते पेट में इंफेक्शध हुआ था।,पिछले हफ्ते पेट में इंफेक्शन हुआ था।,पिछले हफ्ते पेट में इंफेक्शन होता है।,False
"खूद की कमी नहीं, पर हात में तनाव बहुत है।","खून की कमी नहीं, पर हाल में तनाव बहुत है।",खून की कमी नहीं है।,False
"हाँ, परों में हल्की सूज है।","हाँ, पैरों में हल्की सूजन है।",हाँ परिवार में हल्का सूजन है।,False
कभी तेज़ चुभश तो कभी हल्का दर्द।,कभी तेज़ चुभन तो कभी हल्का दर्द।,कभी तेज़ चुभन भी हल्का दर्द है।,False
हाथों में खुली रहती है और नाक में जलद होती है।,हाथों में खुजली रहती है और नाक में जलन होती है।,हाथों में खुजली रहती है और नाक में जलन होती है।,True
दान के आसपस सूजन है।,दाने के आसपास सूजन है।,दान के आसपास सूजन है।,False
पेट फूलदे के साथ मरोड़ भी होती है।,पेट फूलने के साथ मरोड़ भी होती है।,पेट फूलने के साथ मरोड़ भी होती है।,True
सीने में भारपन और जकदन लगती है।,सीने में भारीपन और जकड़न लगती है।,सुबह उठने में भारपन और जकड़न लगती है।,False
"हाँ, मसलेदार खाना खाने पर बहुत जलती होती है और कभी-कभी हल्का खून आता है।","हाँ, मसालेदार खाना खाने पर बहुत जलन होती है और कभी-कभी हल्का खून आता है।",खाना खाने पर बहुत जलन आती है और कभी-कभी हल्का खून आता है।,False
नथने के अंदर हल्क जलन और दर्द रहता है।,नथुने के अंदर हल्की जलन और दर्द रहता है।,नथने के बाद हल्क जलन और दर्द रहता है।,False
ज़्यादा ज़ोर से नाक साफ करवने पर या बहुत सूख हवा में खून आता है।,ज़्यादा ज़ोर से नाक साफ करने पर या बहुत सूखी हवा में खून आता है।,ज़्यादा ज़्यादा ज़्यादा से नाक सांस करने पर बहुत सूजन आता है।,False
कंपकंप होने पर शरीर ती ला-सा लगने लगता है।,कंपकंपी होने पर शरीर ढीला-सा लगने लगता है।,कंधे होने पर शरीर में ला-सा लगना लगता है।,False
आंकें लाल ज़्यादा होने पर थोड़ा धुंधला दिखता है।,आंखें लाल ज़्यादा होने पर थोड़ा धुंधला दिखता है।,आँखों में ज़्यादा होने पर थोड़ा धड़कन दिखता है।,False
कन के अंदर कभी-कवि चिपचिपा स्राव और खुजदी होती है।,कान के अंदर कभी-कभी चिपचिपा स्राव और खुजली होती है।,कन के अंदर कभी-कभी चिपचिपेपन और खुजली होती है।,False
नाक से खून रुकने के बाद कुछ समय तक चक्कें जैसा लगता है।,नाक से खून रुकने के बाद कुछ समय तक चक्कर जैसा लगता है।,नाक से खून रुकने के बाद कुछ समय तकचली जैसी लगता है।,False
सीढ़ियाँ चपते समय सांस फूदती है और गहरी सांस नहीं ले पाता,सीढ़ियाँ चढ़ते समय सांस फूलती है और गहरी सांस नहीं ले पाता,सुबह उठते समय सांस फूलती है और गैस फूलती है।,False
धड़नक कभी रुक-सी जाती है फिर तेश पड़ती है।,धड़कन कभी रुक-सी जाती है फिर तेज़ पड़ती है।,धड़कन कभी रुक-रुक जाती है।,False
बाँहों पर छोते-छोते लाल दाते हैं जगह लाल और थोड़ी सूजी हुई है।,बाँहों पर छोटे-छोटे लाल दाने हैं जगह लाल और थोड़ी सूजी हुई है।,बाँहों पर छाले-छोते लाल दाते हैं।,False
चक्ते आते हैं और उँगतीयों में झनझनाहट होती है।,चक्कर आते हैं और उँगलियों में झनझनाहट होती है।,चक्कर आते हैं और उँगली में झनझनाहट होती है।,False
"हाँ, रात में खुजल के कारण नींत टूट जाती है।","हाँ, रात में खुजली के कारण नींद टूट जाती है।",रात में खुजली के कारण नींद टूट जाती है।,False
"हाँ, सामान रखकर भूदा जाती हूँ और बातें याद नहीं रहतीं।","हाँ, सामान रखकर भूल जाती हूँ और बातें याद नहीं रहतीं।",सांस लेने पर भूख आती है और बातों याद नहीं रहती है।,False
मुझे हाई बीती और थायरॉयदा की समस्या है।,मुझे हाई बीपी और थायरॉयड की समस्या है।,मुझे हाई बीती और थायरॉयदा की समस्या है।,False
अचानक बहुत तेज़ चलने लगती हूँ और कुछ सेकंड के लिए बेशी-सी लगती है।,अचानक बहुत तेज़ चलने लगती हूँ और कुछ सेकंड के लिए बेहोशी-सी लगती है।,अचानक बहुत तेज़ चलने लगती है।,False
कभी-कभी पील में दर्द और घबराटह रहती है।,कभी-कभी पीठ में दर्द और घबराहट रहती है।,कभी-कभी पीरियड्स में दर्द और घबराहट रहती है।,False
त्वचा थोड़ी काली और खुररी हो गई है।,त्वचा थोड़ी काली और खुरदरी हो गई है।,त्वचा थोड़ी काली और खुरदरी हो गई है।,True
"ज़्यादातर हाल की बातें ,नाकें और नई योजनाएँ भूल जाती हूँ।","ज़्यादातर हाल की बातें ,नाम और नई योजनाएँ भूल जाती हूँ।",ज़्यादा हाल की बातों और नई योजनाएँ भूल जाती है।,False
"थकान रहती है, चिड़वीड़ापन है और नींद टूते-टूते कर आती है।","थकान रहती है, चिड़चिड़ापन है और नींद टूट-टूट कर आती है।",दस्त रहती है और नींद टूट जाती है।,False
सीढ़ियों पर फिसलकर कलावी पर गिर गई।,सीढ़ियों पर फिसलकर कलाई पर गिर गई।,पीरियड्स पर फिशर की समस्या पर गिर गई है।,False
बाँह की हडद्दी और कलाई के पास तेज़ दर्द है।,बाँह की हड्डी और कलाई के पास तेज़ दर्द है।,बाँह की हड्डी और कलाई के पास दर्द है।,False
हाथ में सूजन है और गरल लगता है।,हाथ में सूजन है और गरम लगता है।,हाथ में सूजन है और गर्दन लगता है।,False
दौड़ते समय टखते मुड़ गया।,दौड़ते समय टखना मुड़ गया।,दौड़ते समय टखते समय टखते समय टखते मुझे मुझे मुड़ गया है।,False
वहन डालने पर हाथ में दर्द पढ़ जाता है।,वजन डालने पर हाथ में दर्द बढ़ जाता है।,वहन करने पर हाथ में दर्द बढ़ जाता है।,False
ऊबड़-ऊबड़ ज़मीन पर पैल डगमगाता है।,ऊबड़-खाबड़ ज़मीन पर पैर डगमगाता है।,ऊबड़-ऊबड़ ज़मीन पर पैर बढ़ जाता है।,False
बाय पिंडली में झुनझन और सुन्नपल होता है,बाय पिंडली में झुनझुनी और सुन्नपन होता है,बाय पिंडली में झुकने और सुन्नपन होता है।,False
पैर में सूजन है और नीवी-सा निशान है।,पैर में सूजन है और नीला-सा निशान है।,पैर में सूजन है और नींद-नींद है।,False
पिछले साल एमआरआए में स्लिप्ड डिस्त दिखा था।,पिछले साल एमआरआई में स्लिप्ड डिस्क दिखा था।,पिछले साल एमआईए में स्लिप्ड डिस्त दिखा है।,False
घुटन और उँगबेयों के जोड़ में दर्द होता है।,घुटने और उँगलियों के जोड़ में दर्द होता है।,घुटना और उँगली के जोड़ में दर्द होता है।,False
ज़्यादा चलने पर घुटते सूज जाते हैं।,ज़्यादा चलने पर घुटने सूज जाते हैं।,ज़्यादा चलने पर घुटते सूजन जाते हैं।,False
उठने के बाद लगभग 20–30 मिनट तक जकदन रहती है।,उठने के बाद लगभग 20–30 मिनट तक जकड़न रहती है।,उठने के बाद लगभग 20 मिनट तक जकड़न रहती है।,False
हलच सीमिसीत है पर चलन में दर्द होता है।,हलचल सीमित है पर चलने में दर्द होता है।,हलच सीमा है पर चलने में दर्द होता है।,False
बीच-वीच में जल जैसा महसूस होता है,बीच-बीच में जलन जैसा महसूस होता है,बीच-वेच में जलन जैसी महसूस होता है।,False
"हाँ, धड़कन हुआ दर्द नींद से जगा देता है।","हाँ, धड़कता हुआ दर्द नींद से जगा देता है।",सुबह उठते ही दर्द नींद से जकड़न होता है।,False
हल्का व्यायम मदत करता है पर ठंड में दर्द बढ़ता है।,हल्का व्यायाम मदद करता है पर ठंड में दर्द बढ़ता है।,हल्का व्यायाम करता है पर ठंड में दर्द बढ़ता है।,False
कुछ खाने के बाद ही पेट भर जाता है और तला – तना नहीं खा पाती।,कुछ खाने के बाद ही पेट भर जाता है और तला – भुना नहीं खा पाती।,कुछ खाने के बाद पेट भर जाता है।,False
जात खोलना और सीढ़ियाँ चढ़ना मश्किल होता है।,जार खोलना और सीढ़ियाँ चढ़ना मुश्किल होता है।,जाँच खोलना और सीढ़ियाँ चढ़ना महसूस होता है।,False
मुझे एसिटीडि रहती है पर कोई बड़ी बीमारी नहीं है।,मुझे एसिडिटी रहती है पर कोई बड़ी बीमारी नहीं है।,मुझे एसिडिटी रहती है पर कोई बड़ी बीमारी नहीं है।,True
कई साल से लैक्टोजत इंटॉलस है।,कई साल से लैक्टोज़ इंटॉलरेंस है।,कई साल से लैक्टोजत होता है।,False
पिछले हफ्ते बुखार था पर भूखा अभी तक नहीं लौटी।,पिछले हफ्ते बुखार था पर भूख अभी तक नहीं लौटी।,पिछले हफ्ते बुखार था पर भूख भी कम हो जाती है।,False
झुकते या उठाने पर पैर में दर्द बढ़ जाता है।,झुकने या उठाने पर पैर में दर्द बढ़ जाता है।,झुकने पर पैर में दर्द बढ़ जाता है।,False
नींद की कम और चॉकलेट से सरदर्त ट्रिगर होता है।,नींद की कमी और चॉकलेट से सरदर्द ट्रिगर होता है।,नींद की कम और चॉकलेट से सिरदर्द ट्रिगर होता है।,False
"गर्दन में दो छोटे गाँते जैसे हैं और हाँ, छूने पर हल्का दर्द होता है।","गर्दन में दो छोटे गाँठ जैसे हैं और हाँ, छूने पर हल्का दर्द होता है।","गर्दन में दो छोटे गाँते जैसी हैं और हाँ, छूने पर हल्का दर्द होता है।",False
कमर के निचते हिस्से से शुरू होकर बाएँ पैर तक दर्द जाता है।,कमर के निचले हिस्से से शुरू होकर बाएँ पैर तक दर्द जाता है।,कमर के निचते ही पैर से शुरू होता है।,False
उठन के बाद 20 मिनट तक तेढ़ी-मेढ़ी रोशनी दिखती है।,उठने के बाद 20 मिनट तक टेढ़ी-मेढ़ी रोशनी दिखती है।,उठने के बाद तेज़-तेज़ रोशनी दिखती है।,False
खाने का स्वाद पीका लगता है पर निगलते में दिक्कत नहीं।,खाने का स्वाद फीका लगता है पर निगलने में दिक्कत नहीं।,खाना खाने के बाद पीठ पीठ लगता है।,False
"बड़े पैर का अंगूता लाल, सूजा और गरथ है।","बड़े पैर का अंगूठा लाल, सूजा और गरम है।",बड़े पैर का अंगूता लाल और सूजन है।,False
धड़ताक हुआ र्दद नींद से जगा देता है।,धड़कता हुआ दर्द नींद से जगा देता है।,सुबह उठते ही नींद से जकड़न होता है।,False
करम के निचले हिस्स से शुरू होकर र्दद बाएँ पैर तक जाता है।,कमर के निचले हिस्से से शुरू होकर दर्द बाएँ पैर तक जाता है।,करने के बाद भी सिरदर्द बढ़ जाता है।,False
बाय पिंलीड में झुनझुन और सुन्नपन होता है,बाय पिंडली में झुनझुनी और सुन्नपन होता है,बाय पिंडली में झुकने और सुन्नपन होता है।,False
पिछले साल आरएमआई में स्लप्ड डिस्क दिखा था।,पिछले साल एमआरआई में स्लिप्ड डिस्क दिखा था।,पिछले साल आरआई में स्लिप डिस्क दिखा है।,False
लंबे समय बठने और खसरने पर दर्द बढ़ता है।,लंबे समय बैठने और खाँसने पर दर्द बढ़ता है।,लंबे समय बढ़ने पर दर्द बढ़ जाता है।,False
बीश-बीश में जलन जैसा महसूस होता है,बीच-बीच में जलन जैसा महसूस होता है,बीश-बीश में जलन जैसी महसूस होता है।,False
उठने के बाद भगलग 20–30 मिनट तक जड़नक रहती है।,उठने के बाद लगभग 20–30 मिनट तक जकड़न रहती है।,व्यायाम करने के बाद भूल्हा में जकड़न रहती है।,False
घुटन और उँलिगयों के जोड़ में दर्द है,घुटने और उँगलियों के जोड़ में दर्द है,घुटना और उँगलियों के जोड़ में दर्द है।,False
र्दद जेल लगाती हूँ और जिफियो एक्ससाइज़ करती हूँ।,दर्द जेल लगाती हूँ और फिजियो एक्सरसाइज़ करती हूँ।,र्दद जेल लगाती है और जिगर एक्साइटिस करती है।,False
"हाँ, दो महनों में 4 किल बिना कोशिश के।","हाँ, दो महीनों में 4 किलो बिना कोशिश के।",दो महीने में 4 किल बिना कोशिश के कारण कोशिश होता है।,False
कुछ खने के बाद ही पेत भर जाता है और तला – भुना नहीं खा पाती।,कुछ खाने के बाद ही पेट भर जाता है और तला – भुना नहीं खा पाती।,कुछ खने के बाद पानी भर जाता है।,False
पीयरिड्स के बीच कभी-कभी स्पॉटग होती है।,पीरियड्स के बीच कभी-कभी स्पॉटिंग होती है।,पीरियड्स के साथ कभी-कभी स्पॉट होती है।,False
जिफियो से थोड़ा फायदा हुआ; हट पड लगाती हूँ।,फिजियो से थोड़ा फायदा हुआ; हीट पैड लगाती हूँ।,जिफियो से थोड़ा फायदा हुआ है।,False
कंदे पर नया गहर स्साम दिखा है।,कंधे पर नया गहरा मस्सा दिखा है।,कंधे पर नया गैस महसूस होता है।,False
निलगने में दिक्त नहीं पर तीन हफ्तों से खाँसी है।,निगलने में दिक्कत नहीं पर तीन हफ्तों से खाँसी है।,निगलने में दिक्कत नहीं पर तीन हफ्ते से खाँसी है।,False
रामआ के बाद भी थवटका बनी रहती है।,आराम के बाद भी थकावट बनी रहती है।,मुझे के बाद भी थकान बनी रहती है।,False
पीठ में लगातार हल्क लेकिन बना रहने वाला दर्द है।,पीठ में लगातार हल्का लेकिन बना रहने वाला दर्द है।,पीठ में लगातार हल्क लेकिन बना रहता है।,False
जल्द पट भर जाता है और खाने छोड़ देती हूँ।,जल्दी पेट भर जाता है और खाना छोड़ देती हूँ।,जल्द पट भर जाता है और खाने छोड़ देती है।,False
पिशले महने लंबी वारयल खाँसी रही है।,पिछले महीने लंबी वायरल खाँसी रही है।,पिंडली महसूस होने लगती है।,False
दो महीन पहले टीयूआई हुआ था।,दो महीने पहले यूटीआई हुआ था।,दो महीने पहले टीआई हुआ था।,False
प्याश के काणर पानी ज़्यदा पी रही हूँ।,प्यास के कारण पानी ज़्यादा पी रही हूँ।,गर्मी के बाद पानी ज़्यादा पी रही है।,False
पिछले साल थायडरॉय सामान्य था।,पिछले साल थायरॉयड सामान्य था।,पिछले साल थायरॉय सामान्य है।,False
पिताजी को डायटीबिज़ है और मैं जाँश करा रही हूँ।,पिताजी को डायबिटीज़ है और मैं जाँच करा रही हूँ।,पिताजी को डायटीरियल है और मैं जाँच कर रही है।,False
भारी डिब्बा गतल तरीक से उठा लिया और पठ में तबसे लगारत दर्द है।,भारी डिब्बा गलत तरीके से उठा लिया और पीठ में तबसे लगातार दर्द है।,भारी डिब्बा गैस से उठा लिया और पेशाब में तब से लगातार लगातार दर्द है।,False
कमर के निचल हिस्सू की माँसपेशियाँ खिंचाव है,कमर के निचले हिस्से की माँसपेशियाँ खिंचाव है,कमर के निचैनी की समस्या खिंचाव है।,False
हल्क सजन है पर नीला निचन नहीं।,हल्की सूजन है पर नीला निशान नहीं।,हल्क सजन है पर नींद निकला है।,False
आगे झुकन पर दर्द होता है पर हरतक काम हो गई है,आगे झुकने पर दर्द होता है पर हरकत कम हो गई है,आगे झुकने पर दर्द होता है।,False
गर्म सेत और हल्की स्ट्चिंग से थोड़ी राहत मिलती है।,गर्म सेक और हल्की स्ट्रेचिंग से थोड़ी राहत मिलती है।,गर्मी से और हल्का स्टीमिंग से थोड़ी राहत मिलती है।,False
"दो दिन पहले, अचानक खड़े होने पर आँकें के आगे अँधेरा छा गया था।","दो दिन पहले, अचानक खड़े होने पर आँखों के आगे अँधेरा छा गया था।",दो दिन पहले अचानक खून होने पर आँखों के आगे अकड़न छा गया है।,False
"चक्कर, पसीन और नरज धुंधली होने लगी थी।","चक्कर, पसीना और नजर धुंधली होने लगी थी।",चक्कर और पसीना धुंधली होने लगती है।,False
पेट की तलीकफ़ है और पान कम पी रही हूँ।,पेट की तकलीफ़ है और पानी कम पी रही हूँ।,पेट की तल्टी है और पान कम हो जाती है।,False
काफी देर बैठन के बाद खड़ी हुई थी तो शक्कर आने लगे,काफी देर बैठने के बाद खड़ी हुई थी तो चक्कर आने लगे,काफी देर बैठने के बाद खून आने लगती है।,False
भीड़ और कड़े डेलाइन पर ज़्यादा रसदर्द बढ़ जाती है।,भीड़ और कड़े डेडलाइन पर ज़्यादा सरदर्द बढ़ जाती है।,खाना खाने पर ज़्यादा रसद बढ़ जाती है।,False
पिछले साल भी कमर में ऐसा ही खिंचाव हुआ था।,पिछले साल भी कमर में ऐसा ही खिंचाव हुआ था।,पिछले साल भी कमर में ऐंठन होता है।,False
रात में गड़ी चलाना मुश्किल हो गया है।,रात में गाड़ी चलाना मुश्किल हो गया है।,रात में गैस चलना मुश्किल हो गया है।,False
"हाँ, रात में एंटीस्टामिहिन लेती हूँ।","हाँ, रात में एंटीहिस्टामिन लेती हूँ।",रात में एंटीस्टोन लेती है।,False
तंकूबा नहीं पर कवी-कवी शराब पीती हूं,तंबाकू नहीं पर कभी-कभी शराब पीती हूं,त्वचा नहीं पर कूल्हा-कूल्हा शुरू होती है।,False
ऑफस में एक सकहर्मी को पिछले हफ्ते यही लक्षण थे,ऑफिस में एक सहकर्मी को पिछले हफ्ते यही लक्षण थे,बैठने के बाद यही लक्षण होता है।,False
बहुत थकान रहती है दिन में भी पझकी लेनी पड़ती है,बहुत थकान रहती है दिन में भी झपकी लेनी पड़ती है,बहुत थकान रहती है दिन में भी पेशाब रहती है।,False
ऑटोम्यून समस्या नहीं; शुगर की जाँच बाकी है।,ऑटोइम्यून समस्या नहीं; शुगर की जाँच बाकी है।,बैक्टीरियड्स समस्या नहीं है।,False
मेरी नक से अचानक खून बने लगता है।,मेरी नाक से अचानक खून बहने लगता है।,मेरी नकसी से अचानक खून बने लगता है।,False
कुछ मिनट से लेकर करब एक घंदे तक सरदर्द रहता है।,कुछ मिनट से लेकर करीब एक घंटे तक सरदर्द रहता है।,कुछ मिनट से लेकर कर एक घाव तक सरदर्द रहता है।,False
मुझे वीर-वीर मतली जैसी महसूस होती है।,मुझे बार-बार मतली जैसी महसूस होती है।,मुझे वीर-वीर मतली जैसी महसूस होती है।,False
थोड़ा-सा चलन पर भी चक्र और मतली महसूस होती है।,थोड़ा-सा चलने पर भी चक्कर और मतली महसूस होती है।,थोड़ा-थोड़ा चलने पर भी मतली महसूस होती है।,False
ठंडा या गर् पानी लगने पर नाखन में ज्यादा दर्द होने लगता है।,ठंडा या गर्म पानी लगने पर नाखून में ज्यादा दर्द होने लगता है।,ठंड में गर्मी लगने पर नाखून में दर्द होने लगता है।,False
ऑरेपशन के बाद से कभी-कभी सिर भारी-सा रहता है।,ऑपरेशन के बाद से कभी-कभी सिर भारी-सा रहता है।,बैठने के बाद से कभी-कभी सिर भारी रहता है।,False
ल्का झुकने या दबाव आने पर नक से खन टपकने लगता है।,हल्का झुकने या दबाव आने पर नाक से खून टपकने लगता है।,ल्कुल झुकने के बाद नकसीर आना लगता है।,False
कई बार संतलन बनने में दिक्कत होती है।,कई बार संतुलन बनाने में दिक्कत होती है।,कई बार संक्रमण बनने में दिक्कत होती है।,False
लंबे समय तक ध्यान लगाने पर सिर में खिंछव जैसा महसूस होता है।,लंबे समय तक ध्यान लगाने पर सिर में खिंचाव जैसा महसूस होता है।,लंबे समय तक ध्यान लगाने पर सिर में खिंचाव जैसी महसूस होता है।,False
सर्जर के बाद डॉक्टर ने आराम और साधानी बरतने को कहा था।,सर्जरी के बाद डॉक्टर ने आराम और सावधानी बरतने को कहा था।,खाना खाने के बाद डॉक्टर ने आँख और साधन बढ़ जाता है।,False
हाथ पर एक-दो दर्नाक फोड़े निकल आए हैं।,हाथ पर एक-दो दर्दनाक फोड़े निकल आए हैं।,हाथ पर एक दर्द फोड़ा निकल आए हैं।,False
कभी-कभी सोते-सोते भी नाक से खून निकल जाता है।,कभी-कभी सोते-सोते भी नाक से खून निकल जाता है।,कभी-कभी सोते-सोते भी नाक से खून निकल जाता है।,True
मेरी पहल दिगमा की सर्री हो चुकी है।,मेरी पहले दिमाग की सर्जरी हो चुकी है।,मेरे पेशाब दिमाग की सर्री होती है।,False
न्यूरोसरीर्ज के बाद से थोड़ी कमरीजो महसूस होती है।,न्यूरोसर्जरी के बाद से थोड़ी कमजोरी महसूस होती है।,व्यायाम के बाद से थोड़ी कमजोरी महसूस होती है।,False
फोड़े वाली जगह पर छने से बहुत तेज़ दर्द होता है।,फोड़े वाली जगह पर छूने से बहुत तेज़ दर्द होता है।,फोड़े पर छूने से बहुत दर्द होता है।,False
नाक के अंदर ऐसा लगता है जैसे कोई नाकज़ु नस फट रही हो।,नाक के अंदर ऐसा लगता है जैसे कोई नाज़ुक नस फट रही हो।,नाक के अंदर ऐंठन लगता है।,False
